service group,department,organisation,staff group,metric,month
Medical Services,Acute/General Medicine DEPT,CLOSED Other Medical - Med staff 76262,Medical and Dental,Hires,6
Medical Services,Acute/General Medicine DEPT,Acute Phys Medical Staff 76208,Administrative and Clerical,Sickness,6
Medical Services,Acute/General Medicine DEPT,Acute Phys Medical Staff 76208,Medical and Dental,Leavers,6
Neighbourhood Services,Bridgwater Community Hospital,Bridgwater Wards 21503 Do not use,Additional Clinical Services,Sickness,6
Mental Health and Learning Disabilities,Inpatients DEPT,Rydon Ward 2 50182,Additional Clinical Services,Leavers,6
CYP & Families Services,Community Paediatrics,Community Childrens Nursing 42040,Nursing and Midwifery Registered,Hires,6
CYP & Families Services,Community Paediatrics,Community Childrens Psychology 42050,Add Prof Scientific and Technic,Sickness,6
Surgical Services,Private Patients,Kingston Wing 75781,Students,Hires,6
Neighbourhood Services,Burnham on Sea Comm Hospital,Burnham Wards 21523,Nursing and Midwifery Registered,Hires,6
Medical Services,Acute/General Medicine DEPT,Jasmine R2G Ward 75734,Students,Sickness,6
Corporate Support Services,Resourcing,Flexible Workforce 02064,Administrative and Clerical,Leavers,6
Medical Services,Care of the Older Person DEPT,Eliot Ward 20403,Nursing and Midwifery Registered,Leavers,6
CYP & Families Services,Community Paediatrics,Community Childrens Psychology 42050,Administrative and Clerical,Sickness,6
CYP & Families Services,Directorate Management Fam,Divisional Management CAMHS 49010,Allied Health Professionals,Sickness,6
Medical Services,Cardiology,Clinical Investigations 76275,Additional Clinical Services,Hires,6
Surgical Services,T&O,Gould Ward 15 18004,Nursing and Midwifery Registered,Leavers,6
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Mendip Crisis Resolution Team 52200,Nursing and Midwifery Registered,Hires,6
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Yeovil Crisis Resolution Team 52201,Additional Clinical Services,Hires,6
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Taunton Crisis Resolution Team 52101,Additional Clinical Services,Hires,6
Neighbourhood Services,Bridgwater Community Hospital,Bridgwater Administration 21500,Administrative and Clerical,Leavers,6
Medical Services,Care of the Older Person DEPT,CLOSED - Wordsworth Ward 20400,Nursing and Midwifery Registered,Sickness,6
CYP & Families Services,Community Paediatrics,Paediatric Therapies Taunton 42010,Additional Clinical Services,Hires,6
Mental Health and Learning Disabilities,Inpatients DEPT,Willow Ward Team 50190,Additional Clinical Services,Hires,6
Neighbourhood Services,Frome Community Hospital,Frome Administration 21600,Administrative and Clerical,Leavers,6
Corporate Support Services,Student Support,NMET Bids 02045,Additional Clinical Services,Sickness,6
Neighbourhood Services,Crewkerne Community Hospital,Crewkerne Wards 21563,Additional Clinical Services,Leavers,6
Mental Health and Learning Disabilities,Inpatients DEPT,Rowan Ward 1 50280,Estates and Ancillary,Leavers,6
Corporate Support Services,Overseas DEPT,Yeovil IR 75424,Administrative and Clerical,Hires,6
Mental Health and Learning Disabilities,Urgent Care & Forensic Servs,Perinatal 50106,Add Prof Scientific and Technic,Hires,6
Corporate Support Services,Trustwide Schemes,Bank Nurses 75450,Allied Health Professionals,Leavers,6
Neighbourhood Services,Bridgwater Community Hospital,Bridgwater OPD 21400,Additional Clinical Services,Hires,6
Medical Services,Care of the Older Person DEPT,CLOSED - Wordsworth Ward 20400,Additional Clinical Services,Leavers,6
Corporate Support Services,Procurement,Supply Chain 03007,Administrative and Clerical,Leavers,6
CYP & Families Services,Community Paediatrics,Paediatric Therapies Management 42010,Allied Health Professionals,Sickness,6
Neighbourhood Services,Int Team N Sedge & B'Water,DN Bridgwater Bay 61001,Nursing and Midwifery Registered,Leavers,6
Medical Services,Care of the Older Person DEPT,CLOSED - Wordsworth Ward 20400,Administrative and Clerical,Sickness,6
Medical Services,Care of the Older Person DEPT,FAU Medical Staff 76211,Medical and Dental,Hires,6
Surgical Services,Theatres & DSC,Day Theatres 75701,Nursing and Midwifery Registered,Hires,6
