service group,staff group,metric,n_months,boxcox_lambda,unique_id,nperiods,seasonal_period,trend,spike,linearity,curvature,e_acf1,e_acf10,seasonal_strength,peak,trough,x_acf1,x_acf10,diff1_acf1,diff1_acf10,diff2_acf1,diff2_acf10,seas_acf1,total_sum,mean,variance,median,p2point5,p5,p25,p75,p95,p97point5,max,min
Clinical Support and Cancer Services,Allied Health Professionals,Sickness,585,0.15590308913781867,Clinical Support and Cancer Services|Allied Health Professionals|Sickness,1,12,0.09186683955535035,0.00031773860091165347,3.8910074406236386,-3.3446892009976015,-0.112647343266987,0.08119047300319272,0.1676351393861878,7,12,-0.010769068132100407,0.02036648638771333,-0.4619739227357446,0.23944172517302764,-0.6299233495705794,0.43038732468130975,-0.03938281657107273,976.0211013715677,1.668412139096697,13.337177204277339,2.6220419088965268,-3.2857198955232385,-3.2857198955232385,-3.2857198955232385,4.747072736693363,6.508533766686687,6.814924322743062,7.704855491936023,-3.2857198955232385
Clinical Support and Cancer Services,Estates and Ancillary,Sickness,24,,Clinical Support and Cancer Services|Estates and Ancillary|Sickness,1,12,0.0,0.0,0.0,-0.0,,,0.0,1,1,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clinical Support and Cancer Services,Healthcare Scientists,Sickness,133,0.004699580759415236,Clinical Support and Cancer Services|Healthcare Scientists|Sickness,1,12,0.0463036409178601,0.003076028141764843,-1.4192260742343548,2.5321416130382204,-0.28579845636150153,0.1774150489002687,0.3474682981993894,6,10,-0.2826346811733717,0.1514914230948105,-0.5984502893171211,0.4552436950489921,-0.7032418021994028,0.6189770795138746,0.08491166016594134,-130.3082031740998,-0.979760926121051,11.09730063185011,0.009950563507387858,-4.555694356806131,-4.555694356806131,-4.555694356806131,1.766875907972574,3.5446085582546263,3.6466764786063246,3.863514619886174,-4.555694356806131
Clinical Support and Cancer Services,Medical and Dental,Hires,62,-3.8922227838164742,Clinical Support and Cancer Services|Medical and Dental|Hires,1,12,0.34203128614278144,1.0856695753066899e-08,0.2721053625903482,-0.04565212945445031,-0.006140277967126861,0.1315404578655295,0.5084215445169019,3,4,0.10117841648383384,0.08470472321951444,-0.5029904709006375,0.37313513329678305,-0.6701661391319675,0.6654021443103094,0.09540036802226519,4.117132853539144,0.06640536860547007,0.011872637979271843,0.0,0.0,0.0,0.0,0.23961939771653865,0.23961939771653865,0.25335200979014993,0.2557572659273034,0.0
Clinical Support and Cancer Services,Medical and Dental,Leavers,58,-4.810175079679791,Clinical Support and Cancer Services|Medical and Dental|Leavers,1,12,0.24257934372126844,3.8410133473466945e-09,0.09053101718719958,0.15425097130863719,-0.2139713388072899,0.13438723685346798,0.6976493465739687,9,9,-0.16886033573928053,0.1079716440149677,-0.6067366542094801,0.4099327219852265,-0.7240890418366585,0.6188812974123997,0.21915099103527774,2.6380528939316514,0.045483670585028474,0.007288921611439808,0.0,0.0,0.0,0.0,0.0,0.2068387336553622,0.2068387336553622,0.2068387336553622,0.0
Clinical Support and Cancer Services,Medical and Dental,Sickness,179,-0.6551351882770707,Clinical Support and Cancer Services|Medical and Dental|Sickness,1,12,0.06759021094425965,0.9564078717979171,25.963457411168573,-18.951069236019254,-0.18335746513865317,0.12811243169093295,0.1274572896725904,1,3,-0.10511642275957286,0.07620802520590285,-0.49942562498527,0.2880297761889282,-0.6505933461832158,0.46823388260875626,-0.09933060303614315,-4143.881646646377,-23.150176796907132,158.07311614642146,-29.65814521683539,-29.65814521683539,-29.65814521683539,-29.65814521683539,-29.65814521683539,1.3658418532080128,1.3741429829478504,1.4260071089897983,-29.65814521683539
Clinical Support and Cancer Services,Nursing and Midwifery Registered,Leavers,46,-13.26036024796464,Clinical Support and Cancer Services|Nursing and Midwifery Registered|Leavers,1,12,0.5424333165668547,1.4248164792689864e-11,-0.061582233618200456,0.035850233284553244,0.0107406833811852,0.256054143971387,0.744932486630669,1,2,0.12417815482502649,0.3978527161683624,-0.28669497523000703,0.4706155660034789,-0.4123463551174395,0.4154240079053792,0.16818663838812295,0.37702523434903795,0.008196200746718216,0.0005630984657752487,0.0,0.0,0.0,0.0,0.0,0.07540504686980759,0.07540504686980759,0.07540504686980759,0.0
Clinical Support and Cancer Services,Nursing and Midwifery Registered,Sickness,327,0.08314613411230483,Clinical Support and Cancer Services|Nursing and Midwifery Registered|Sickness,1,12,0.08158845655847291,0.0006541263729653328,5.400544084108261,0.9380989925845136,-0.16278669323920758,0.13530822560122335,0.24015576380488102,5,10,-0.07870913845699351,0.05707493747210837,-0.5369704006523132,0.3260077645240904,-0.6944760627391219,0.5679856658362507,0.036606405339742555,104.03418094959362,0.3181473423534973,12.122901555728605,1.2246911152262785,-3.8260389364352054,-3.8260389364352054,-3.8260389364352054,3.5889252218005785,4.612085864160729,4.847935035893082,5.383954087089826,-3.8260389364352054
Clinical Support and Cancer Services,Students,Sickness,58,-1.2583364245916528,Clinical Support and Cancer Services|Students|Sickness,1,12,0.11042750692846304,22790.593548417233,-28.894434219380884,-81.0543198289862,-0.10373396393542299,0.2861387176757332,0.3321531902200462,5,8,-0.01759073236088833,0.14630609570310546,-0.5000056468133576,0.3781237100403222,-0.6905125897200541,0.7090139066431509,-0.15314268748464538,-13013.346684077953,-224.36804627720608,8232.443743420688,-260.3469122053722,-260.3469122053722,-260.3469122053722,-260.3469122053722,-260.3469122053722,0.6233158173792586,0.7108248474958612,0.7261503523985114,-260.3469122053722
Corporate Support Services,Add Prof Scientific and Technic,Hires,74,-0.8099944303208334,Corporate Support Services|Add Prof Scientific and Technic|Hires,1,12,0.2671989228515823,3.590366918203718e-06,-0.5349668124096141,0.6482220254255725,0.18329833066735443,0.22823874328008065,0.2695158353481554,9,1,0.3544464350769677,0.3547235509963319,-0.453990581160825,0.2943457266155948,-0.6980188713207072,0.6578951827638237,-0.30344431106389397,27.571060864160536,0.37258190356973697,0.24271277856268408,0.0,0.0,0.0,0.0,0.806572479184261,1.154508407649334,1.160042315000515,1.1652607162149793,0.0
Corporate Support Services,Add Prof Scientific and Technic,Leavers,81,-2.1771956737646048,Corporate Support Services|Add Prof Scientific and Technic|Leavers,1,12,0.35391091859100654,7.476585528797238e-08,-0.05821955253051672,-0.22523109635998434,0.1607828840637637,0.27897118433019574,0.3402826288133791,9,9,0.3397246288366993,0.21017347894112146,-0.33524817738984186,0.20866423772848325,-0.5633535010604769,0.4094046937582332,-0.06250623167458993,10.185791858980556,0.12575051677753774,0.03440929351223038,0.0,0.0,0.0,0.0,0.3577514374259653,0.45001859680346606,0.45001859680346606,0.4543416751032016,0.0
Corporate Support Services,Add Prof Scientific and Technic,Sickness,369,-0.6733263122312403,Corporate Support Services|Add Prof Scientific and Technic|Sickness,1,12,0.1085007852682055,0.25121126929313237,-18.676277683724244,-4.737491687937521,-0.13189420086827514,0.10907472085838249,0.19036402390365936,8,4,0.024178843238597873,0.021357743470691255,-0.4990299610938477,0.27149191383752846,-0.6673653993424851,0.4909826510944574,-0.017608070688630358,-9042.236847010205,-24.50470690246668,177.83326602368865,-31.508233417162465,-31.508233417162465,-31.508233417162465,-31.508233417162465,-31.508233417162465,1.2590107122544658,1.326890758087008,1.3768069930655455,-31.508233417162465
Corporate Support Services,Additional Clinical Services,Hires,157,0.45585938305871915,Corporate Support Services|Additional Clinical Services|Hires,1,12,0.16506864935173382,0.00021585196972242967,-4.824033939088017,0.027383394452303478,-0.2871962080999353,0.2634439133909549,0.212729297817144,5,2,-0.1303059969891013,0.12244268841884587,-0.5704342063435254,0.46271121928017533,-0.6949264896578486,0.6527580483808081,-0.024862269732839806,451.5648704544955,2.876209365952201,2.8551468448264643,3.1325104545046627,0.0,0.0,1.4260137851238277,4.072890729936072,5.433655090129309,6.018913451842698,6.966974682061352,0.0
